corp_name,corp_code,stock_code
엑셀세라퓨틱스,01492217,373110
신일전자,00173698,002700
자이글,01020524,234920
케이비캐피탈,00161408,021960
대호에이엘,00428729,069460
알바이오,00112004,003190
인지컨트롤스,00103510,023800
강원에너지,00100601,114190
동국홀딩스,00114792,001230
대동스틸,00109268,048470
신라섬유,00135999,001000
HD현대마린엔진,00406046,071970
노블엠앤비,00536329,106520
소니드,00363510,060230
티엑스알로보틱스,01458161,484810
삼성에스디에스,00126186,018260
삼성SDI,00126362,006400
남해화학,00107987,025860
디와이디,01089378,219550
삼양엔씨켐,00863533,482630
로아앤코,00957568,214310
KT지니뮤직,00223762,043610
삼일씨엔에스,00109806,004440
삼기에너지솔루션즈,01526806,419050
DB증권,00115694,016610
삼성FN리츠,01688896,448730
성우,00319272,458650
유진스팩11호,01854392,488060
지앤비에스 에코,00958327,382800
인천도시가스,00145862,034590
비유테크놀러지,01110076,230980
광무,00186452,029480
틸론,00976615,217880
HLB파나진,00172079,046210
한국가구,00156442,004590
리더스코스메틱,00180263,016100
케이피엠테크,00206686,042040
원익홀딩스,00216647,030530
제이엠아이,00222435,033050
메디앙스,00267854,014100
크레오에스지,00346407,040350
메디콕스,00356839,054180
아이지넷,01728167,462980
GS건설,00120030,006360
코오롱머티리얼,00652159,144620
한화플러스제5호스팩,01881800,498390
우양,00486875,103840
차바이오텍,00525679,085660
더코디,00530413,224060
한국유니온제약,00532855,080720
에이디테크놀로지,00657002,200710
일진전기,00683469,103590
네이처셀,00117276,007390
글로벌텍스프리,01042711,204620
KISCO홀딩스,00159740,001940
비츠로시스,00201432,054220
미래에셋생명,00112332,085620
에코플라스틱,00139153,038110
오리콤,00141671,010470
종근당홀딩스,00149354,001630
KBI메탈,00158024,024840
코오롱,00152862,002020
태영건설,00153861,009410
지엘팜텍,01042359,204840
NHN KCP,00357740,060250
기가레인,00377018,049080
파커스,00384762,065690
아미노로직스,00466428,074430
텔콘RF제약,00608802,200230
에이팩트,00667425,200470
서진시스템,00838005,178320
한익스프레스,00129509,014130
엑스게이트,01372782,356680
SPC삼립,00125530,005610
대유,00384948,290380
팬젠,00962922,222110
벡트,01453944,457600
제이씨현시스템,00223513,033320
MH에탄올,00121534,023150
탑엔지니어링,00366845,065130
삼성카드,00126292,029780
싸이맥스,00659161,160980
와이즈버즈,01236532,273060
세방전지,00133858,004490
사조동아원,00137252,008040
신영스팩10호,01796858,472220
GS리테일,00140177,007070
에이치엠씨제7호스팩,01813377,477340
지누스,00150633,013890
심플랫폼,01590980,444530
에이스테크,00556907,088800
한울소재과학,00560122,091440
고영,00579999,098460
에스에너지,00585538,095910
다산솔루에타,00624518,154040
장원테크,00659684,174880
아시아경제,00665676,127710
제너셈,00666204,217190
제노레이,00799539,122310
알엔투테크놀로지,00915508,148250
엔투텍,01105621,227950
피엔에이치테크,01112889,239890
보라티알,01124680,250000
와이엠텍,01215618,273640
알로이스,01309795,297570
토탈소프트,00355089,045340
신스틸,00958664,162300
롯데하이마트,00158307,071840
HS애드,00140168,035000
동아타이어공업,01262458,282690
동일기연,00199076,032960
프레스티지바이오로직스,01258428,334970
스코넥,01290248,276040
온코크로스,01423916,382150
에이텀,01444380,355690
오브젠,01472930,417860
시큐레터,01579570,418250
한울비앤씨,00820389,214870
LS에코에너지,01093007,229640
이지트로닉스,01140837,377330
AP시스템,01203808,265520
신한제10호기업인수목적,01616482,418210
한국피아이엠,00765897,448900
HDC랩스,00350312,039570
코엔텍,00197476,029960
삼화네트웍스,00301112,046390
웨이버스,01408999,336060
와이제이링크,01023211,209640
인스피언,01284876,465480
녹십자웰빙,01135057,234690
포스코스틸리온,00155258,058430
포스코퓨처엠,00155276,003670
마니커,00204208,027740
세아홀딩스,00377610,058650
해성디에스,01032413,195870
HS효성첨단소재,01316254,298050
유바이오로직스,00927558,206650
이지스레지던스리츠,01436628,350520
대주이엔티,00414540,114920
시너지이노베이션,00475985,048870
컴투스,00476498,078340
젬백스,00492894,082270
SDN,00574611,099220
와이지엔터테인먼트,00613318,122870
쓰리에이로직스,00870065,177900
유네코,00127699,064510
네오이뮨텍,01511558,950220
앤에스,00638539,126870
한국미라클피플사,01363924,331660
케이씨피드,00101752,025880
남양유업,00107598,003920
매일홀딩스,00120924,005990
엠오티,01563922,413390
동성제약,00116268,002210
파멥신,00972293,208340
광진실업,00104120,026910
영풍제지,00141404,006740
드림텍,00415646,192650
더테크놀로지,00351454,043090
한중엔시에스,00474588,107640
미래에셋비전스팩6호,01819867,478440
LG생명과학,00423609,068870
퀄리타스반도체,01584183,432720
대한제당,00113234,001790
한탑,00140566,002680
대한제분,00113243,001130
한일사료,00162911,005860
대상,00121941,001680
빙그레,00124726,005180
팜스토리,00192499,027710
삼양식품,00126955,003230
모아텍,00241209,033200
이지홀딩스,00242378,035810
서울식품공업,00130879,004410
드림어스컴퍼니,00364467,060570
iMBC,00370006,052220
우성,00142661,006980
스톰테크,01226270,352090
한국공항,00156691,005430
한국쉘석유,00158149,002960
에이비프로바이오,00620558,195990
제닉스,01293485,381620
쇼박스,00303794,086980
야스,00875307,255440
씨아이테크,00127158,004920
와이투솔루션,00144720,011690
산은캐피탈,00260356,008270
서호전기,00220622,065710
코스나인,00442455,082660
우주일렉트로,00390903,065680
세실,00446831,084450
기업은행,00149646,024110
한국전자인증,00361169,041460
신한글로벌액티브리츠,01714997,481850
민테크,01689035,452200
디지캡,00681373,197140
삼익THK,00127802,004380
TS트릴리온,01353024,317240
스마트레이더시스템,01555215,424960
위너스,01137860,479960
MDS테크,00445841,086960
신비앤텍,00446479,070480
테크엘,00370255,064520
디엘건설,00128971,001880
슈피겐코리아,00917861,192440
광림,00103635,014200
아모텍,00298447,052710
강스템바이오텍,01025644,217730
모트렉스,00876908,118990
캐리,00863038,313760
에스케이렌터카,00201450,068400
SKC,00139889,011790
태성,01366000,323280
씨앗,00762377,103660
비에이치아이,00409788,083650
디비엘,00291152,041500
드림인사이트,01492688,362990
미래에셋비전스팩7호,01841635,482680
비비씨,01153105,318410
진영,00816933,285800
조흥,00149345,002600
쎄트렉아이,00449254,099320
아미코젠,00545734,092040
동원F&B,00340917,049770
에스앤디,00560849,260970
해태제과식품,00428321,101530
조이시티,00397252,067000
크로넥스,01034730,215570
인피니트헬스케어,00435969,071200
메디안디노스틱,01035942,233250
상상인제3호기업인수목적,01604371,415580
대교,00108913,019680
이랜텍,00206659,054210
레몬,01011395,294140
우리은행,00254045,000030
와이랩,01406265,432430
배터리솔루션즈,00929778,199870
셀젠텍,01117918,258250
스튜디오드래곤,01168684,253450
지니틱스,01318933,303030
엠에프엠코리아,01384477,323230
디아이티,00576798,110990
유비벨록스,00592653,089850
동아쏘시오홀딩스,00116824,000640
우리종합금융,00104102,010050
리튬포어스,00440712,073570
동아에스티,00956930,170900
DGI,00627029,099520
씨피시스템,01601222,413630
한서제약,00301015,044070
플래닛팔이,00301626,057330
미래반도체,00299844,254490
하이젠알앤엠,00650771,160190
한국맥널티,00579139,222980
CJ제일제당,00635134,097950
선진,00855093,136490
노바렉스,00811372,194700
삼양사,00896285,145990
팜스빌,00986898,318010
샘표식품,01167056,248170
크라운제과,01205329,264900
에이치피오,01068737,357230
오리온,01238169,271560
미래생명자원,01071944,218150
롯데웰푸드,01258507,280360
뉴트리,01214248,270870
유니포인트,00445869,121060
광동헬스바이오,00523176,086220
하나금융22호기업인수목적,01613281,418170
온코닉테라퓨틱스,01632912,476060
KBG,00876166,318000
경동나비엔,00101488,009450
남화토건,00108001,091590
남광토건,00107066,001260
스페코,00136165,013810
에스엠코어,00137915,007820
대창,00112651,012800
한국알콜,00158565,017890
동원산업,00118026,006040
유진기업,00184667,023410
동화약품,00119195,000020
아이즈비전,00200910,031310
보해양조,00123541,000890
에스엘,00125521,005850
대아티아이,00318316,045390
SK디스커버리,00131832,006120
코데즈컴바인,00329093,047770
한성크린텍,00389998,066980
동원시스템즈,00132637,014820
한라IMS,00528515,092460
유화증권,00145190,003460
네오크레마,01219155,311390
KB제30호스팩,01851650,486630
소룩스,00605522,290690
에이치엘사이언스,01011438,239610
대동고려삼,00910202,178600
한솔피엔에스,00103626,010420
한국애보트진단,00317089,066930
제이엔케이글로벌,00442154,126880
씨알푸드,01085187,236030
바이오텐,01352575,289170
인산가,01243161,277410
위지윅스튜디오,01276327,299900
휴럼,01453670,353190
이지바이오,01480568,353810
오에스피,01491607,368970
경동제약,00101549,011040
고려제약,00103015,014570
국제약품,00104722,002720
대한약품,00113128,023910
동구바이오제약,00114686,006620
동국제약,00114808,086450
원익피앤이,01020843,217820
에스엔유프리시젼,00455981,080000
GST,00540863,083450
일성건설,00146232,013360
이엠텍,00541163,091120
OCI홀딩스,00148896,010060
제넥신,00545929,095700
휴스틸,00156488,005010
휴메딕스,00614478,200670
한국종합기술,00159500,023350
코스맥스엔비티,00656289,222040
한국앤컴퍼니,00160047,000240
삼기,00799177,122350
코스모화학,00160302,005420
한미사이언스,00161426,008930
씨이랩,00991298,189330
한창제지,00163761,009460
코아시아씨엠,01031502,196450
HDC,00164636,012630
강동씨앤엘,01032583,198440
HMM,00164645,011200
기신정기,00106614,092440
진도,00557933,088790
하스,01663569,450330
메디쎄이,01018617,200580
폴라리스AI,00369213,039980
SCL사이언스,01110182,246960
이렘,00116426,009730
백산,00122551,035150
한솔로지스틱스,00140946,009180
안국약품,00139205,001540
영흥,00141477,012160
오션인더블유,00349811,052300
한컴라이프케어,00534598,372910
한솔제지,01060744,213500
우리이앤엘,00815095,153490
케어랩스,01187148,263700
비엔디,00329084,047940
씨티앤티,00334493,050470
콜마파마,00334615,038710
지케이파워,00349787,054020
수산아이앤티,00577016,050960
부광약품,00123718,003000
삼성제약,00126414,001360
삼아제약,00126788,009300
삼천당제약,00128546,000250
녹십자,00129679,006280
서울제약,00131018,018680
팜젠사이언스,00135050,004720
신신제약,00136448,002800
신일제약,00137058,012790
신풍제약,00137359,019170
영진약품,00141149,003520
유유제약,00144818,000220
일동홀딩스,00146083,000230
JW중외제약,00149947,001060
진양제약,00150536,007370
유나이티드,00158963,033270
한독,00161046,002390
동양생명,00117267,082640
삼부토건,00125974,001470
태양기계,00442631,116100
대양금속,00111111,009190
씨유메디칼,00681249,115480
드림시큐리티,01038693,203650
넥센,00167192,005720
넵튠,01067808,217270
넥센타이어,00173874,002350
선샤인푸드,01068658,217620
동아지질,00178754,028100
본느,01098792,226340
한국토지신탁,00233653,034830
한송네오텍,01101722,226440
코오롱ENP,00241005,138490
형지글로벌,01181807,308100
HDC현대EP,00357935,089470
HLB바이오스텝,01189438,278650
AJ네트웍스,00365387,095570
에브리봇,01201590,270660
LX하우시스,00759513,108670
코윈테크,01211232,282880
코오롱인더,00795135,120110
에스디바이오센서,00854997,137310
한솔테크닉스,00157399,004710
루트로닉,00549925,085370
코디,00308559,080530
퓨처코어,00653103,151910
에스바이오메딕스,01258020,304360
티엘아이,00261887,062860
영진코퍼레이션,00356158,053330
닷밀,01605282,464580
한올바이오파마,00162586,009420
현대약품,00164706,004310
환인제약,00166573,016580
한국파마,00187770,032300
대화제약,00210740,067080
바이넥스,00216027,053030
조아제약,00231831,034940
비씨월드제약,00256043,200780
바스칸바이오제약,00533809,354390
셀트리온제약,00541349,068760
위더스제약,00765851,330350
한미약품,00828497,128940
헬릭스미스,00359395,084990
알체라,01405451,347860
세원이앤씨,00585219,091090
세토피아,01091382,222810
미래에셋비전기업인수목적1호,01601286,412930
블랙야크아이앤씨,01718407,478560
한국타이어앤테크놀로지,00937324,161390
코오롱티슈진,01245062,950160
현대코퍼레이션홀딩스,01108099,227840
리메드,01275665,302550
HDC현대산업개발,01310269,294870
코오롱모빌리티그룹,01712485,450140
인바이츠바이오코아,00537221,216400
월덱스,00580065,101160
아이엠뱅크,00109019,005270
대원강업,00111847,000430
에쓰씨엔지니어링,00121969,023960
알에프세미,00516246,096610
피엔케이피부임상연구센타,01290381,347740
퀀타피아,00501970,078940
코칩,00446901,126730
SK증권제12호스팩,01798722,473000
코아스템켐온,00989664,166480
종근당,00992871,185750
HK이노엔,01012066,195940
일동제약,01168383,249420
알피바이오,01182259,314140
제주은행,00148832,006220
앱트뉴로사이언스,01228515,270520
빌리언스,00173449,044480
아이엠,00609634,101390
HPSP,01288827,403870
아이에스동서,00115977,010780
경창산업,00102353,024910
TCC스틸,00117300,002710
대동기어,00109310,008830
키다리스튜디오,00140131,020120
포스코엠텍,00128111,009520
서울반도체,00130763,046890
코스맥스비티아이,00219574,044820
태광,00153375,023160
씨티알모빌리티,00450010,308170
SBI인베스트먼트,00156910,019550
KEC,00589127,092220
코스맥스,01009789,192820
오텍,00397289,067170
두산퓨얼셀,01412725,336260
서울바이오시스,00488402,092190
폴라리스AI파마,00463342,041910
에스에이치엔엘,00245898,050320
유안타제11호스팩,01688346,444920
유안타제12호스팩,01690235,446150
유안타제13호스팩,01701753,449020
유안타제14호스팩,01706819,450940
지오엘리먼트,00668965,311320
엔에이치기업인수목적20호,01573974,391060
KG모빌리티,00138242,003620
한화갤러리아,01722437,452260
애경케미칼,00936787,161000
테라젠이텍스,00249894,066700
모비스,01165155,250060
대한광통신,00113261,010170
이건홀딩스,00184889,039020
인크레더블버즈,00390408,064090
형지I&C,00142713,011080
제룡산업,00899556,147830
신한제11호스팩,01719105,452980
신한제13호스팩,01807747,474930
신한제12호스팩,01809569,474660
남산물산,00188122,036280
솔루스첨단소재,01412822,336370
케이조선,00109453,067250
깨끗한나라,00113492,004540
KD,00111218,044180
동원개발,00117966,013120
태경비케이,00122481,014580
티앤알바이오팹,01109937,246710
성일하이텍,01274329,365340
엑스큐어,00683007,070300
AP헬스케어,00653194,109960
일양약품,00146454,007570
타조엔터테인먼트,01518506,476710
한신기계공업,00162072,011700
케이쓰리아이,01689266,431190
셀트리온,00413046,068270
세우글로벌,00134176,013000
엠에스씨,00121154,009780
바른손,00122205,018700
삼양홀딩스,00126937,000070
서원,00131197,021050
서울전자통신,00130587,027040
영풍,00141307,000670
시그네틱스,00158219,033170
사조오양,00141875,006090
좋은사람들,00205003,033340
한국석유공업,00157991,004090
아이에이,00252269,038880
한진중공업홀딩스,00163673,003480
바른손이앤에이,00259590,035620
파라다이스,00171265,034230
삼현,00262266,437730
HS화성,00174527,002460
베뉴지,00267906,019010
콘텐트리중앙,00203315,036420
데브시스터즈,01008762,194480
천지산업,00151447,001490
HLB,00199252,028300
LG디스플레이,00105873,034220
오스템,00175173,031510
국보디자인,00253985,066620
한국경제TV,00263371,039340
삼아알미늄,00126779,006110
아남전자,00138516,008700
제이씨케미칼,00664853,137950
KPX케미칼,00191472,025000
씨젠,00788773,096530
교보11호기업인수목적,01582228,397880
제이투케이바이오,01553129,420570
사이노젠,00367376,064060
삼성증권,00104856,016360
LG이노텍,00105961,011070
삼성생명,00126256,032830
엔텔스,00415707,069410
삼성중공업,00126478,010140
한솔인티큐브,00470829,070590
신세계,00136378,004170
현대차증권,00137997,001500
에스원,00158501,012750
화천기공,00166519,000850
일진다이아,00508274,081000
에어레인,01663116,163280
유아이디,00400121,069330
화신테크,00166333,086250
나무가,00819374,190510
키움증권,00296290,039490
휴먼테크놀로지,00861997,175140
지슨,00945776,289860
씨앤씨인터내셔널,01226410,352480
키움제8호스팩,01693922,446840
비피도,01109070,238200
엔젠바이오,01397903,354200
하나금융21호기업인수목적,01593242,406760
파인메딕스,01455410,387570
동방메디컬,01073261,240550
유니슨,00144243,018000
제일일렉트릭,00148470,199820
신한서부티엔디리츠,01436558,404990
인지디스플레,00265421,037330
가비아,00506294,079940
고려제강,00103006,002240
흥국화재,00103176,000540
KCC건설,00105466,021320
대성창투,00109037,027830
대현,00113614,016090
LX세미콘,00525934,108320
부산은행,00124106,005280
자화전자,00146861,033240
코웰패션,00155948,033290
라이온켐텍,00317104,171120
코아스,00210856,071950
시지메드텍,00346610,056090
티에스이,00372226,131290
텔코웨어,00361488,078000
KTcs,00372882,058850
SOOP,00399694,067160
웅진씽크빅,00628189,095720
CG인바이츠,00407814,083790
엘브이엠씨,00838500,900140
시디즈,00852087,134790
성창오토텍,00486370,080470
씨케이솔루션,01210677,480370
이녹스,00494476,088390
티와이홀딩스,01497869,363280
에스와이,00535481,109610
유니테스트,00540447,086390
코셈,01493793,360350
셀로맥스사이언스,01448544,471820
광동제약,00103592,009290
한국테크놀로지,00355548,053590
세븐브로이맥주,01575361,267080
씨엔티드림,01114559,286000
효성,00117188,004800
CNH,00149266,023460
유안타증권,00117601,003470
한국선재,00158015,025550
동원수산,00118044,030720
에너토크,00169215,019990
코콤,00187725,015710
선도전기,00131939,007610
일신석재,00146296,007110
한국주철관공업,00159573,000970
한신공영,00162063,004960
케이엘넷,00246620,039420
경남기업,00101257,000800
지나인제약,00477257,078650
비케이탑스,00273615,030790
이스트에이드,01128622,239340
상신브레이크,00129642,041650
신풍,00137368,002870
랩지노믹스,00545114,084650
애머릿지,00781202,900100
툴젠,00547510,199800
SK시그넷,01188730,260870
ISC,00572905,095340
에스코넥,00573269,096630
아이윈플러스,00615723,123010
KX,00657987,122450
디티앤씨,00675594,187220
앤디포스,00942131,238090
아이스크림에듀,00983934,289010
와이씨,01109539,232140
모비릭스,01210190,348030
엠에프씨,01217795,432980
이녹스첨단소재,01237540,272290
솔트웨어,01390399,328380
한국팩키지,00198192,037230
롯데쇼핑,00120526,023530
더라미,00205687,032860
SM Life Design,00367604,063440
현대비앤지스틸,00125743,004560
현대이지웰,00656951,090850
서울도시가스,00130684,017390
위메이드플레이,00815767,123420
포스코DX,00155212,022100
퓨릿,01027828,445180
HD한국조선해양,00164830,009540
와이어블,00250137,065530
새론오토모티브,00305668,075180
아시아나IDT,00458234,267850
한국정보공학,00261957,039740
비상교육,00520887,100220
누리플렉스,00269889,040160
HJ중공업,00633835,097230
인산가,00408336,062580
대한화섬,00113544,003830
엠투엔,00143226,033310
디와이덕양,00114154,024900
이화전기,00145738,024810
사조산업,00124799,007160
한주에이알티,00146427,058450
DH오토넥스,00126089,000300
심텍홀딩스,00152127,036710
태광산업,00153393,003240
농우바이오,00176835,054050
오상헬스케어,00260657,036220
SG&G,00264714,040610
세종텔레콤,00268002,036630
피노,00276083,033790
코나솔,00666329,176590
아이톡시,00346911,052770
도부,01109690,227420
KG에코솔루션,00366137,151860
스타코링크,00373571,060240
HLB사이언스,01413371,343090
제넨바이오,00408956,072520
푸른소나무,00410739,057880
비트맥스,01409095,377030
아이엠비디엑스,01497373,461030
블리츠웨이엔터테인먼트,01508855,369370
나우로보틱스,01594791,459510
디이엔티,00445160,079810
티플랙스,00497631,081150
AP위성,00874803,211270
씨앤투스,00875237,352700
위니아에이드,01175499,377460
쿠콘,01311055,294570
보로노이,01327746,310210
에스피소프트,01381391,443670
쓰리빌리언,01506617,394800
센서뷰,01593668,321370
폰드그룹,01806951,472850
세아제강,01325979,306200
산일전기,00366438,062040
그래디언트,00244561,035080
PS일렉트로닉스,01015160,332570
에스엘테라퓨틱스,01109122,258540
오하임앤컴퍼니,01335453,309930
제로투세븐,00563837,159580
잇츠한불,00911955,226320
GS글로벌,00138190,001250
스피어,01336762,347700
에스케이증권제8호기업인수목적,01671197,435870
인디에프,00106881,014990
디비금융제11호기업인수목적,01731453,456440
바이오포트,01157846,188040
큐러블,00548519,086460
카프로,00159810,006380
나래나노텍,00362122,137080
넥사다이내믹스,01440153,351320
아이마켓코리아,00360142,122900
유안타제10호기업인수목적,01670675,435380
이노룰스,01341630,296640
한국투자파트너스,00162081,019560
수산세보틱스,00135111,017550
엑스플러스,01514698,373200
건영,00100957,012720
미스토홀딩스,00195229,081660
대창솔루션,00177870,096350
서울평가정보,00260745,036120
아이티센글로벌,00620868,124500
한울앤제주,01230255,276730
아이엘,01326279,307180
포커스에이아이,01393721,331380
쎄크,00406222,081180
동성케미컬,00679314,102260
CNT85,00318662,056730
HLB펩,00808086,196300
아스타,01157235,246720
에이비엘바이오,01256864,298380
시선AI,01315042,340810
일성아이에스,00146214,003120
주성엔지니어링,00252135,036930
아크솔루션스,01036367,203690
한국제14호기업인수목적,01814312,477530
에이아이코리아,01307593,364950
두산테스나,00563545,131970
위메이드,00444329,112040
코원에너지서비스,00112907,026870
OCI,01760738,456040
에이프릴바이오,01375822,397030
케이씨씨글라스,01428203,344820
네이트커뮤니케이션즈,00361725,066270
일신바이오,00385415,068330
에이프로젠바이오로직스,00101044,003060
삼환기업,00129411,000360
아이티센씨티에스,00186559,031820
화승인더스트리,00166227,006060
한화비전,01867758,489790
디에이치엑스컴퍼니,00180865,031860
다보링크,01416642,340360
인터로이드,01290132,311960
KT밀리의서재,01467451,418470
로킷헬스케어,01335143,376900
인스웨이브,01222113,450520
에스켐,01383779,475660
광명전기,00103662,017040
푸른저축은행,00124805,007330
DYP,00117726,092780
제일바이오,00185505,052670
아모레퍼시픽홀딩스,00154462,002790
NICE인프라,00363769,063570
유니온바이오메트릭스,00408266,203450
KT나스미디어,00486097,089600
디바이스,00624509,187870
오건에코텍,01085442,212310
솔디펜스,01063884,215090
아이티센엔텍,00138303,010280
중앙첨단소재,00347716,051980
인트로메딕,00661157,150840
아티스트스튜디오,00990819,200350
LS티라유텍,01309388,322180
대신밸런스제15호기업인수목적,01751448,457390
티씨머티리얼즈,00381756,125020
일정실업,00146542,008500
아티스트컴퍼니,01116502,321820
HLB이노베이션,00155586,024850
에코글로우,00896753,159910
마녀공장,01136977,439090
바이오비쥬,01657197,489460
DKME,00108746,015590
브이원텍,01027794,251630
롯데이노베이트,01262032,286940
에코마케팅,01029394,230360
우정바이오,01065013,215380
이뮨온시아,01203659,424870
고려아연,00102858,010130
새빗켐,00862880,107600
더바이오메드,01049167,214610
나라소프트,01267550,288490
아이티센피엔에스,01113499,232830
원일티엔아이,00488244,136150
오가노이드사이언스,01626391,476040
